University of Puget Sound,1
Denison University,2
The University of Tennessee,4
CUNY LaGuardia Community College,1
Drexel University,1
Colorado State University-Fort Collins,1
Emory University,6
University of Rhode Island,1
Texas A & M University-College Station,4
Oberlin College,2
University of California-San Diego,3
Western Michigan University,1
SUNY at Albany,2
University of California-Santa Cruz,1
The University of Texas at Dallas,3
Carthage College,1
Colorado Christian University,1
Rhodes College,1
Brigham Young University-Provo,5
Elon University,1
Boston University,2
University of Illinois at Chicago,2
Mount Holyoke College,5
University of Mississippi,3
University of Alabama at Birmingham,1
University of Chicago,8
The University of Texas at San Antonio,2
Louisiana State University and Agricultural & Mechanical College,2
Bard College,1
Wittenberg University,1
University of Denver,1
City College of San Francisco,1
Hobart William Smith Colleges,1
University of Louisville,3
Wake Forest University,1
University of Arizona,4
Yale University,6
University of Southern Indiana,1
North Carolina State University at Raleigh,1
Pomona College,3
University of South Florida-Main Campus,5
Morgan State University,2
Stanford University,2
Amherst College,1
Universidad Del Este,1
The University of Alabama,2
University of Houston,2
CUNY Hunter College,4
Williams College,1
Saint Edward's University,1
Southwestern University,2
United States Naval Academy,8
Occidental College,2
University of Nebraska-Lincoln,2
Middlebury College,3
University of Kentucky,1
University of California-Irvine,1
Clemson University,1
Transylvania University,1
University of Rochester,1
University of Georgia,3
University of Southern California,5
Tufts University,9
Harvard University,8
Chapman University,1
Swarthmore College,1
Santa Monica College,1
University of Oklahoma Norman Campus,2
The College of Wooster,1
University of Central Florida,2
Washington University in St Louis,4
Northeastern University,1
University of California-Berkeley,4
University of Wisconsin-Superior,1
Rutgers University-New Brunswick,5
University of Miami,2
Gettysburg College,1
Western Kentucky University,3
University of New Orleans,1
William Jewell College,2
College of Saint Benedict,2
Davidson County Community College,1
Long Island University-Brooklyn Campus,1
University of Maryland-College Park,8
University of Hawaii at Manoa,3
College of William and Mary,3
California Polytechnic State University-San Luis Obispo,1
University of Massachusetts Amherst,1
University of Northern Iowa,1
University at Buffalo,1
University of Iowa,6
Grand Valley State University,3
Portland State University,4
CUNY Graduate School and University Center,2
Temple University,1
The University of Texas at Austin,12
University of Connecticut,1
Saint Anselm College,1
Stetson University,1
Cornell University,3
University of Colorado Denver,1
University of Pittsburgh-Pittsburgh Campus,6
The University of Montana,1
University of Toledo,1
Wesleyan University,2
Saint Michael's College,1
Rice University,3
West Virginia University,2
DePaul University,4
Belmont University,1
Monterey Institute of International Studies,4
Diablo Valley College,1
Syracuse University,5
Hendrix College,1
Virginia Commonwealth University,1
Green River Community College,1
Dartmouth College,1
University of Wisconsin-Madison,7
George Mason University,3
Princeton University,7
Vanderbilt University,1
New College of Florida,2
Youngstown State University,1
Cedarville University,1
SUNY Empire State College,1
University of Illinois at Urbana-Champaign,3
American University,11
Miami University-Oxford,1
Spelman College,2
Towson University,3
Marietta College,1
Pitzer College,1
University of California-Los Angeles,4
New York University,7
University of Washington-Seattle Campus,7
Wellesley College,1
Bergen Community College,2
University of North Carolina Wilmington,1
Northwestern University,3
Ohio University-Main Campus,3
SUNY at Binghamton,2
University of New Mexico-Main Campus,2
Western Illinois University,1
Kalamazoo College,1
Oregon State University,1
University of Missouri-Columbia,3
Pennsylvania State University-Main Campus,1
Boston College,1
Claremont McKenna College,2
Macalester College,5
University of Kansas,5
Middle Tennessee State University,2
Boise State University,2
San Diego State University,2
College of the Holy Cross,1
Stony Brook University,1
University of Idaho,1
Franklin and Marshall College,1
Eastern Florida State College,1
University of North Carolina at Chapel Hill,6
Pratt Institute-Main,1
University of Oregon,2
University of California-Davis,1
Thomas Edison State College,1
University of the Pacific,1
University of Virginia-Main Campus,5
Essex County College,1
Ohio State University-Main Campus,8
University of Notre Dame,2
Brown University,6
Portland Community College,2
CUNY Bernard M Baruch College,2
Grinnell College,1
Georgia Institute of Technology-Main Campus,2
Bryn Mawr College,1
Duke University,1
Mount Saint Mary College,1
Carleton College,1
DePauw University,1
Wofford College,1
University of California-Riverside,2
Tulane University of Louisiana,2
Embry-Riddle Aeronautical University-Prescott,1
University of Colorado Boulder,5
San Francisco State University,3
Smith College,1
McDaniel College,1
Indiana University-Bloomington,14
Lafayette College,1
University of Maryland-Baltimore County,1
University of Florida,2
Bates College,1
George Washington University,8
Johns Hopkins University,5
Drew University,1
Carnegie Mellon University,1
University of South Carolina-Columbia,2
University of Michigan-Ann Arbor,4
Georgetown University,8
University of Minnesota-Twin Cities,2
Florida State University,1
Allegheny College,1
Montclair State University,1
College of Southern Nevada,1
Columbia University in the City of New York,1
Northern Virginia Community College,5
Cornell College,1
Hamilton College,2
Concordia College at Moorhead,1
Davidson College,2
James Madison University,1
University of Pennsylvania,7
Westminster Theological Seminary,1
Michigan State University,4
Bowdoin College,1
Massachusetts Institute of Technology,2
